Year,Planted Area,Harvested Area,Temp_mean,Temp_min,Temp_max,Precipitation,Average Yield,crop,Production
2021,10999.40,7724.50,20.30,13.10,27.60,89.20,0.26,Chickpea,2016.40
2022,6814.60,5311.60,19.70,12.70,26.80,136.20,1.18,Chickpea,6255.10
1999,29880.00,3083.70,19.73,12.48,27.03,66.53,1.45,Vetch,4465.70
2000,11328.70,9187.10,18.94,11.71,26.22,96.50,0.06,Vetch,594.60
2001,12652.40,8989.70,19.76,12.60,26.97,104.04,0.12,Vetch,1097.70
2002,7825.70,7809.20,19.52,12.41,26.68,126.07,0.09,Vetch,719.20
2003,2337.30,2337.30,19.50,12.50,26.54,133.74,0.08,Vetch,180.00
2004,16257.40,16257.40,19.37,12.16,26.62,95.64,0.10,Vetch,1559.30
2005,13230.40,13230.40,19.29,12.09,26.54,88.40,0.11,Vetch,1505.90
2006,12236.10,12236.10,19.16,11.96,26.41,94.81,0.09,Vetch,1059.20
2007,3526.30,3526.30,19.45,12.25,26.71,94.70,0.08,Vetch,283.50
2008,9580.80,9580.80,19.66,12.27,27.09,70.48,0.06,Vetch,601.30
2009,9035.30,9035.30,19.72,12.48,27.02,77.65,0.05,Vetch,483.90
2010,7440.20,7440.20,21.28,13.88,28.71,105.67,0.07,Vetch,540.20
2011,20428.40,14127.50,19.18,12.05,26.36,107.22,0.06,Vetch,817.00
2012,3197.80,2814.90,19.97,12.82,27.17,101.93,0.09,Vetch,255.70
2013,12761.70,8044.40,19.78,12.56,27.05,118.16,0.08,Vetch,641.70
2014,12836.00,8676.40,19.89,12.75,27.08,119.01,0.09,Vetch,774.00
2015,8308.60,5534.50,19.83,12.66,27.06,105.91,0.21,Vetch,1144.50
2016,11099.70,8349.80,20.09,12.95,27.30,106.06,0.25,Vetch,2087.20
2017,4912.20,3071.60,19.83,12.62,27.09,53.23,0.06,Vetch,191.30
2018,8231.40,5341.70,20.44,13.50,27.44,122.96,0.07,Vetch,371.60
2019,935.00,532.60,19.89,12.88,26.96,112.83,0.07,Vetch,38.40
2020,2927.80,1904.30,19.90,12.90,26.90,145.40,0.43,Vetch,819.10
2021,4561.90,3017.30,20.30,13.10,27.60,89.20,0.34,Vetch,1012.50
2022,6392.40,4722.50,19.70,12.70,26.80,136.20,0.12,Vetch,570.00
