Year,Planted Area,Harvested Area,Temp_mean,Temp_min,Temp_max,Precipitation,Average Yield,crop,Production
2018,2301.8,1353.1,20.44,13.5,27.44,122.96,0.4,Lentil,535.6
2019,812.4,450.1,19.89,12.88,26.96,112.83,0.34,Lentil,153.5
2020,1477.3,905.5,19.9,12.9,26.9,145.4,0.46,Lentil,420.5
2021,4423.5,2546.2,20.3,13.1,27.6,89.2,0.38,Lentil,959.7
2022,7020.3,5017,19.7,12.7,26.8,136.2,0.11,Lentil,560.1
1999,13117.1,4431.4,19.73,12.48,27.03,66.53,0.06,Chickpea,264.1
2000,14245.2,11954.6,18.94,11.71,26.22,96.5,0.17,Chickpea,1991.7
2001,7801.9,3273.9,19.76,12.6,26.97,104.04,0.25,Chickpea,811.5
2002,16635.1,16500.5,19.52,12.41,26.68,126.07,0.19,Chickpea,3057.5
2003,16582.1,16582.1,19.5,12.5,26.54,133.74,0.12,Chickpea,1927.1
2004,6402.4,6402.4,19.37,12.16,26.62,95.64,0.12,Chickpea,756.8
2005,14022.2,14022.2,19.29,12.09,26.54,88.4,0.28,Chickpea,3884.9
2006,12234.7,12234.7,19.16,11.96,26.41,94.81,0.14,Chickpea,1730.5
2007,6963.4,6963.4,19.45,12.25,26.71,94.7,0.17,Chickpea,1214.7
2008,4236.8,4236.8,19.66,12.27,27.09,70.48,0.16,Chickpea,676.4
2009,5447.5,5447.5,19.72,12.48,27.02,77.65,0.22,Chickpea,1204.5
2010,22279.8,22279.8,21.28,13.88,28.71,105.67,0.18,Chickpea,3935.2
2011,10091.5,8735.3,19.18,12.05,26.36,107.22,0.25,Chickpea,2157
2012,14123.1,13205.4,19.97,12.82,27.17,101.93,0.28,Chickpea,3729.1
2013,9867.5,7978.9,19.78,12.56,27.05,118.16,0.09,Chickpea,718.9
2014,8358.1,7167.8,19.89,12.75,27.08,119.01,0.26,Chickpea,1887.1
2015,12863.2,10828,19.83,12.66,27.06,105.91,0.16,Chickpea,1708.3
2016,6849.4,6134.9,20.09,12.95,27.3,106.06,0.33,Chickpea,2022.6
2017,4635.3,3597.7,19.83,12.62,27.09,53.23,0.42,Chickpea,1509.2
2018,9467,7440.5,20.44,13.5,27.44,122.96,0.86,Chickpea,6416
2019,15552.9,8731.6,19.89,12.88,26.96,112.83,0.48,Chickpea,4232.2
2020,4327.9,3374.8,19.9,12.9,26.9,145.4,0.5,Chickpea,1676.1
2021,10999.4,7724.5,20.3,13.1,27.6,89.2,0.26,Chickpea,2016.4
2022,6814.6,5311.6,19.7,12.7,26.8,136.2,1.18,Chickpea,6255.1
1999,29880,3083.7,19.73,12.48,27.03,66.53,1.45,Vetch,4465.7
2000,11328.7,9187.1,18.94,11.71,26.22,96.5,0.06,Vetch,594.6
2001,12652.4,8989.7,19.76,12.6,26.97,104.04,0.12,Vetch,1097.7
2002,7825.7,7809.2,19.52,12.41,26.68,126.07,0.09,Vetch,719.2
2003,2337.3,2337.3,19.5,12.5,26.54,133.74,0.08,Vetch,180
2004,16257.4,16257.4,19.37,12.16,26.62,95.64,0.1,Vetch,1559.3
2005,13230.4,13230.4,19.29,12.09,26.54,88.4,0.11,Vetch,1505.9
2006,12236.1,12236.1,19.16,11.96,26.41,94.81,0.09,Vetch,1059.2
2007,3526.3,3526.3,19.45,12.25,26.71,94.7,0.08,Vetch,283.5
2008,9580.8,9580.8,19.66,12.27,27.09,70.48,0.06,Vetch,601.3
2009,9035.3,9035.3,19.72,12.48,27.02,77.65,0.05,Vetch,483.9
2010,7440.2,7440.2,21.28,13.88,28.71,105.67,0.07,Vetch,540.2
2011,20428.4,14127.5,19.18,12.05,26.36,107.22,0.06,Vetch,817
2012,3197.8,2814.9,19.97,12.82,27.17,101.93,0.09,Vetch,255.7
2013,12761.7,8044.4,19.78,12.56,27.05,118.16,0.08,Vetch,641.7
2014,12836,8676.4,19.89,12.75,27.08,119.01,0.09,Vetch,774
2015,8308.6,5534.5,19.83,12.66,27.06,105.91,0.21,Vetch,1144.5
2016,11099.7,8349.8,20.09,12.95,27.3,106.06,0.25,Vetch,2087.2
2017,4912.2,3071.6,19.83,12.62,27.09,53.23,0.06,Vetch,191.3
2018,8231.4,5341.7,20.44,13.5,27.44,122.96,0.07,Vetch,371.6
2019,935,532.6,19.89,12.88,26.96,112.83,0.07,Vetch,38.4
2020,2927.8,1904.3,19.9,12.9,26.9,145.4,0.43,Vetch,819.1
2021,4561.9,3017.3,20.3,13.1,27.6,89.2,0.34,Vetch,1012.5
2022,6392.4,4722.5,19.7,12.7,26.8,136.2,0.12,Vetch,570
